"Data;Último;Var%"
"01.07.2024;127938;0,0325"
"01.06.2024;123907;0,0148"
"01.05.2024;122098;-0,0304"
"01.04.2024;125924;-0,017"
"01.03.2024;128106;-0,0071"
"01.02.2024;129020;0,0099"
"01.01.2024;127752;-0,0479"
"01.12.2023;134185;0,0538"
"01.11.2023;127331;0,1254"
"01.10.2023;113144;-0,0293"
"01.09.2023;116565;0,0071"
"01.08.2023;115742;-0,0509"
"01.07.2023;121943;0,0327"
"01.06.2023;118087;0,09"
"01.05.2023;108335;0,0374"
"01.04.2023;104432;0,025"
"01.03.2023;101882;-0,0291"
"01.02.2023;104932;-0,0749"
"01.01.2023;113431;0,0337"
"01.12.2022;109735;-0,0245"
"01.11.2022;112486;-0,0306"
"01.10.2022;116037;0,0545"
"01.09.2022;110037;0,0047"
"01.08.2022;109523;0,0616"
"01.07.2022;103165;0,0469"
"01.06.2022;98542;-0,115"
"01.05.2022;111351;0,0322"
"01.04.2022;107876;-0,101"
"01.03.2022;119999;0,0606"
"01.02.2022;113142;0,0089"
"01.01.2022;112144;0,0699"
"01.12.2021;104822;0,0285"
"01.11.2021;101915;-0,0153"
"01.10.2021;103501;-0,0674"
"01.09.2021;110979;-0,0657"
"01.08.2021;118781;-0,0248"
"01.07.2021;121801;-0,0394"
"01.06.2021;126802;0,0046"
"01.05.2021;126216;0,0616"
"01.04.2021;118894;0,0194"
"01.03.2021;116634;0,06"
"01.02.2021;110035;-0,0437"
"01.01.2021;115068;-0,0332"
"01.12.2020;119017;0,093"
"01.11.2020;108893;0,159"
"01.10.2020;93952;-0,0069"
"01.09.2020;94603;-0,048"
"01.08.2020;99369;-0,0344"
"01.07.2020;102912;0,0826"
"01.06.2020;95056;0,0876"
"01.05.2020;87403;0,0857"
"01.04.2020;80506;0,1025"
"01.03.2020;73020;-0,299"
"01.02.2020;104172;-0,0843"
"01.01.2020;113761;-0,0163"
"01.12.2019;115645;0,0685"
"01.11.2019;108233;0,0094"
"01.10.2019;107220;0,0236"
"01.09.2019;104745;0,0357"
"01.08.2019;101135;-0,0066"
"01.07.2019;101812;0,0084"
"01.06.2019;100967;0,0406"
"01.05.2019;97030;0,007"
"01.04.2019;96353;0,0098"
"01.03.2019;95415;-0,0018"
"01.02.2019;95584;-0,0186"
"01.01.2019;97394;0,1082"
"01.12.2018;87887;-0,0181"
"01.11.2018;89504;0,0238"
"01.10.2018;87424;0,1019"
"01.09.2018;79342;0,0347"
"01.08.2018;76678;-0,0321"
"01.07.2018;79220;0,0887"
"01.06.2018;72763;-0,052"
"01.05.2018;76754;-0,1087"
"01.04.2018;86115;0,0088"
"01.03.2018;85366;0,0001"
"01.02.2018;85354;0,0052"
"01.01.2018;84913;0,1114"
"01.12.2017;76402;0,0616"
"01.11.2017;71971;-0,0315"
"01.10.2017;74308;0,0002"
"01.09.2017;74294;0,0488"
"01.08.2017;70835;0,0746"
"01.07.2017;65920;0,048"
"01.06.2017;62900;0,003"
"01.05.2017;62711;-0,0412"
"01.04.2017;65403;0,0064"
"01.03.2017;64984;-0,0252"
"01.02.2017;66662;0,0308"
"01.01.2017;64671;0,0738"
"01.12.2016;60227;-0,0271"
"01.11.2016;61906;-0,0465"
"01.10.2016;64925;0,1124"
"01.09.2016;58367;0,008"
"01.08.2016;57901;0,0103"
"01.07.2016;57308;0,1122"
"01.06.2016;51527;0,063"
"01.05.2016;48472;-0,1009"
"01.04.2016;53911;0,077"
"01.03.2016;50055;0,1697"
"01.02.2016;42794;0,0591"
"01.01.2016;40406;-0,0679"
"01.12.2015;43350;-0,0392"
"01.11.2015;45120;-0,0163"
"01.10.2015;45869;0,018"
"01.09.2015;45059;-0,0336"
"01.08.2015;46626;-0,0833"
"01.07.2015;50865;-0,0417"
"01.06.2015;53081;0,0061"
"01.05.2015;52760;-0,0617"
"01.04.2015;56229;0,0993"
"01.03.2015;51150;-0,0084"
"01.02.2015;51583;0,0997"
"01.01.2015;46908;-0,062"
"01.12.2014;50007;-0,0862"
"01.11.2014;54724;0,0017"
"01.10.2014;54629;0,0095"
"01.09.2014;54116;-0,117"
"01.08.2014;61288;0,0978"
"01.07.2014;55829;0,05"
"01.06.2014;53168;0,0376"
"01.05.2014;51239;-0,0075"
"01.04.2014;51627;0,024"
"01.03.2014;50415;0,0705"
"01.02.2014;47094;-0,0114"
"01.01.2014;47639;-0,0751"
"01.12.2013;51507;-0,0186"
"01.11.2013;52482;-0,0327"
"01.10.2013;54256;0,0366"
"01.09.2013;52338;0,0465"
"01.08.2013;50012;0,0369"
"01.07.2013;48234;0,0164"
"01.06.2013;47457;-0,1131"
"01.05.2013;53506;-0,043"
"01.04.2013;55910;-0,0078"
"01.03.2013;56352;-0,0187"
"01.02.2013;57424;-0,0391"
"01.01.2013;59761;-0,0195"
"01.12.2012;60952;0,0605"
"01.11.2012;57475;0,0071"
"01.10.2012;57068;-0,0356"
"01.09.2012;59176;0,0371"
"01.08.2012;57061;0,0172"
"01.07.2012;56097;0,032"
"01.06.2012;54355;-0,0025"
"01.05.2012;54490;-0,1186"
"01.04.2012;61820;-0,0417"
"01.03.2012;64511;-0,0198"
"01.02.2012;65812;0,0434"
"01.01.2012;63072;0,1113"
"01.12.2011;56754;-0,0021"
"01.11.2011;56875;-0,0251"
"01.10.2011;58338;0,1149"
"01.09.2011;52324;-0,0738"
"01.08.2011;56495;-0,0396"
"01.07.2011;58823;-0,0574"
"01.06.2011;62404;-0,0343"
"01.05.2011;64620;-0,0229"
"01.04.2011;66133;-0,0358"
"01.03.2011;68587;0,0179"
"01.02.2011;67383;0,0121"
"01.01.2011;66575;-0,0394"
"01.12.2010;69305;0,0236"
"01.11.2010;67705;-0,042"
"01.10.2010;70673;0,0179"
"01.09.2010;69430;0,0658"
"01.08.2010;65145;-0,0351"
"01.07.2010;67515;0,108"
"01.06.2010;60936;-0,0335"
"01.05.2010;63047;-0,0664"
"01.04.2010;67530;-0,0404"
"01.03.2010;70372;0,0582"
"01.02.2010;66503;0,0168"
"01.01.2010;65402;-0,0465"
"01.12.2009;68588;0,023"
"01.11.2009;67044;0,0893"
"01.10.2009;61546;0,0005"
"01.09.2009;61518;0,089"
"01.08.2009;56489;0,0315"
"01.07.2009;54766;0,0641"
"01.06.2009;51465;-0,0326"
"01.05.2009;53198;0,1249"
"01.04.2009;47290;0,1555"
"01.03.2009;40926;0,0718"
"01.02.2009;38183;-0,0284"
"01.01.2009;39301;0,0466"
"01.12.2008;37550;0,0261"
"01.11.2008;36596;-0,0177"
"01.10.2008;37257;-0,248"
"01.09.2008;49541;-0,1103"
"01.08.2008;55680;-0,0643"
"01.07.2008;59505;-0,0848"
"01.06.2008;65018;-0,1043"
"01.05.2008;72592;0,0696"
"01.04.2008;67868;0,1132"
"01.03.2008;60968;-0,0397"
"01.02.2008;63489;0,0672"
"01.01.2008;59490;-0,0688"
"01.12.2007;63886;0,014"
"01.11.2007;63006;-0,0354"
"01.10.2007;65318;0,0803"
"01.09.2007;60465;0,1067"
"01.08.2007;54637;0,0084"
"01.07.2007;54182;-0,0039"
"01.06.2007;54392;0,0406"
"01.05.2007;52268;0,0677"
"01.04.2007;48956;0,0688"
"01.03.2007;45805;0,0436"
"01.02.2007;43892;-0,0168"
"01.01.2007;44642;0,0038"
"01.12.2006;44474;0,0606"
"01.11.2006;41932;0,068"
"01.10.2006;39263;0,0772"
"01.09.2006;36449;0,006"
"01.08.2006;36232;-0,0228"
"01.07.2006;37077;0,0122"
"01.06.2006;36631;0,0028"
"01.05.2006;36530;-0,095"
"01.04.2006;40363;0,0635"
"01.03.2006;37952;-0,017"
"01.02.2006;38610;0,0059"
"01.01.2006;38383;0,1473"
"01.12.2005;33456;0,0482"
"01.11.2005;31917;0,0571"
"01.10.2005;30194;-0,044"
"01.09.2005;31584;0,1262"
"01.08.2005;28045;0,0769"
"01.07.2005;26042;0,0396"
"01.06.2005;25051;-0,0062"
"01.05.2005;25207;0,0146"
"01.04.2005;24844;-0,0664"
"01.03.2005;26611;-0,0543"
"01.02.2005;28139;0,1556"
"01.01.2005;24351;-0,0704"
"01.12.2004;26196;0,0425"
"01.11.2004;25128;0,0901"
"01.10.2004;23052;-0,0083"
"01.09.2004;23245;0,0194"
"01.08.2004;22803;0,0209"
"01.07.2004;22337;0,0562"
"01.06.2004;21149;0,0821"
"01.05.2004;19545;-0,0032"
"01.04.2004;19607;-0,1145"
"01.03.2004;22142;0,0178"
"01.02.2004;21755;-0,0044"
"01.01.2004;21851;-0,0173"
"01.12.2003;22236;0,1017"
"01.11.2003;20184;0,1225"
"01.10.2003;17982;0,1231"
"01.09.2003;16011;0,0552"
"01.08.2003;15174;0,118"
"01.07.2003;13572;0,0462"
"01.06.2003;12973;-0,0335"
"01.05.2003;13422;0,0689"
"01.04.2003;12557;0,1138"
"01.03.2003;11274;0,0966"
"01.02.2003;10281;-0,0603"
"01.01.2003;10941;-0,029"
"01.12.2002;11268;0,0722"
"01.11.2002;10509;0,0335"
"01.10.2002;10168;0,1792"
"01.09.2002;8623;-0,1694"
"01.08.2002;10382;0,0634"
"01.07.2002;9763;-0,1235"
"01.06.2002;11139;-0,1339"
"01.05.2002;12861;-0,0171"
"01.04.2002;13085;-0,0128"
"01.03.2002;13255;-0,0554"
"01.02.2002;14033;0,1031"
"01.01.2002;12721;-0,0631"
"01.12.2001;13578;0,05"
"01.11.2001;12932;0,1379"
"01.10.2001;11365;0,0685"
"01.09.2001;10636;-0,1717"
"01.08.2001;12841;-0,0664"
"01.07.2001;13754;-0,0554"
"01.06.2001;14560;-0,0061"
"01.05.2001;14650;-0,018"
"01.04.2001;14918;0,0332"
"01.03.2001;14438;-0,0914"
"01.02.2001;15891;-0,1008"
"01.01.2001;17673;0,1582"
"01.12.2000;15259;0,1484"
"01.11.2000;13287;-0,1063"
"01.10.2000;14867;-0,0666"
"01.09.2000;15928;-0,0818"
"01.08.2000;17347;0,0542"
"01.07.2000;16455;-0,0163"
"01.06.2000;16728;0,1184"
"01.05.2000;14957;-0,0374"
"01.04.2000;15538;-0,1281"
"01.03.2000;17820;0,0091"
"01.02.2000;17660;0,0776"
"01.01.2000;16388;-0,0412"
"01.12.1999;17092;0,2404"
"01.11.1999;13779;0,1777"
"01.10.1999;11700;0,0535"
"01.09.1999;11106;0,0512"
"01.08.1999;10565;0,0118"
"01.07.1999;10442;-0,1019"
"01.06.1999;11627;0,0484"
"01.05.1999;11090;-0,023"
"01.04.1999;11351;0,0612"
"01.03.1999;10696;0,2003"
"01.02.1999;8911;0,0906"
"01.01.1999;8171;0,2045"
"01.12.1998;6784;-0,214"
"01.11.1998;8631;0,2248"
"01.10.1998;7047;0,0689"
"01.09.1998;6593;0,0187"
"01.08.1998;6472;-0,3955"
"01.07.1998;10707;0,1063"
"01.06.1998;9678;-0,0172"
"01.05.1998;9847;-0,1567"
"01.04.1998;11677;-0,0226"
"01.03.1998;11947;0,1302"
"01.02.1998;10571;0,0876"
"01.01.1998;9720;-0,0468"
"01.12.1997;10197;0,0854"
"01.11.1997;9395;0,0455"
"01.10.1997;8986;-0,2383"
"01.09.1997;11797;0,112"
"01.08.1997;10609;-0,1758"
"01.07.1997;12872;0,0242"
"01.06.1997;12568;0,1078"
