"Data;Último;Var%"
"22/12/2023;132753;0,43%"
"21/12/2023;132182;1,05%"
"20/12/2023;130804;-0,79%"
"19/12/2023;131851;0,59%"
"18/12/2023;131084;0,68%"
"15/12/2023;130197;-0,49%"
"14/12/2023;130842;1,06%"
"13/12/2023;129465;2,42%"
"12/12/2023;126403;-0,4%"
"11/12/2023;126916;-0,14%"
"8/12/2023;127094;0,86%"
"7/12/2023;126010;0,31%"
"6/12/2023;125623;-1,01%"
"5/12/2023;126903;0,08%"
"4/12/2023;126803;-1,08%"
"1/12/2023;128185;0,67%"
"30/11/2023;127331;0,92%"
"29/11/2023;126166;-0,29%"
"28/11/2023;126538;0,64%"
"27/11/2023;125731;0,17%"
"24/11/2023;125517;-0,84%"
"23/11/2023;126576;0,43%"
"22/11/2023;126035;0,33%"
"21/11/2023;125626;-0,26%"
"20/11/2023;125957;0,95%"
"17/11/2023;124773;0,11%"
"16/11/2023;124639;1,2%"
"14/11/2023;123166;2,29%"
"13/11/2023;120410;-0,13%"
"10/11/2023;120568;1,29%"
"9/11/2023;119034;-0,12%"
"8/11/2023;119177;-0,08%"
"7/11/2023;119268;0,71%"
"6/11/2023;118431;0,23%"
"3/11/2023;118160;2,7%"
"1/11/2023;115053;1,69%"
"31/10/2023;113144;0,54%"
"30/10/2023;112532;-0,68%"
"27/10/2023;113301;-1,29%"
"26/10/2023;114777;1,73%"
"25/10/2023;112830;-0,82%"
"24/10/2023;113762;0,87%"
"23/10/2023;112785;-0,33%"
"20/10/2023;113155;-0,74%"
"19/10/2023;114004;-0,05%"
"18/10/2023;114060;-1,6%"
"17/10/2023;115908;-0,54%"
"16/10/2023;116534;0,67%"
"13/10/2023;115754;-1,11%"
"11/10/2023;117051;0,27%"
"10/10/2023;116737;1,37%"
"9/10/2023;115156;0,86%"
"6/10/2023;114170;0,78%"
"5/10/2023;113284;-0,28%"
"4/10/2023;113607;0,17%"
"3/10/2023;113419;-1,42%"
"2/10/2023;115057;-1,29%"
"29/9/2023;116565;0,72%"
"28/9/2023;115731;1,23%"
"27/9/2023;114327;0,12%"
"26/9/2023;114193;-1,49%"
"25/9/2023;115925;-0,07%"
"22/9/2023;116009;-0,12%"
"21/9/2023;116145;-2,15%"
"20/9/2023;118695;0,72%"
"19/9/2023;117846;-0,37%"
"18/9/2023;118288;-0,4%"
"15/9/2023;118758;-0,53%"
"14/9/2023;119392;1,03%"
"13/9/2023;118176;0,18%"
"12/9/2023;117968;0,93%"
"11/9/2023;116883;1,36%"
"8/9/2023;115313;-0,58%"
"6/9/2023;115985;-1,15%"
"5/9/2023;117331;-0,38%"
"4/9/2023;117777;-0,1%"
"1/9/2023;117893;1,86%"
"31/8/2023;115742;-1,53%"
