Data,Último,Var%
07.04.2015,53.729,"-0,01%"
06.04.2015,53.737,"1,16%"
02.04.2015,53.123,"1,53%"
01.04.2015,52.322,"2,29%"
31.03.2015,51.150,"-0,18%"
30.03.2015,51.243,"2,29%"
27.03.2015,50.095,"-0,96%"
26.03.2015,50.580,"-2,46%"
25.03.2015,51.858,"0,68%"
24.03.2015,51.506,"-0,77%"
23.03.2015,51.908,"-0,11%"
20.03.2015,51.967,"1,99%"
19.03.2015,50.954,"-1,11%"
18.03.2015,51.526,"2,47%"
17.03.2015,50.285,"2,94%"
16.03.2015,48.848,"0,52%"
13.03.2015,48.596,"-0,58%"
12.03.2015,48.880,"-0,05%"
11.03.2015,48.906,"1,27%"
10.03.2015,48.293,"-1,81%"
09.03.2015,49.181,"-1,60%"
06.03.2015,49.981,"-0,76%"
05.03.2015,50.365,"-0,20%"
04.03.2015,50.468,"-1,63%"
03.03.2015,51.304,"0,55%"
02.03.2015,51.021,"-1,09%"
27.02.2015,51.583,"-0,34%"
26.02.2015,51.761,"-0,10%"
25.02.2015,51.811,"-0,12%"
24.02.2015,51.874,"1,16%"
23.02.2015,51.281,"0,08%"
20.02.2015,51.238,"-0,11%"
19.02.2015,51.294,"0,03%"
18.02.2015,51.280,"1,27%"
13.02.2015,50.636,"2,23%"
12.02.2015,49.533,"2,68%"
11.02.2015,48.240,"-0,56%"
10.02.2015,48.510,"-1,77%"
09.02.2015,49.383,"1,21%"
06.02.2015,48.792,"-0,90%"
05.02.2015,49.234,"-0,14%"
04.02.2015,49.301,"0,69%"
03.02.2015,48.964,"2,76%"
02.02.2015,47.651,"1,58%"
30.01.2015,46.908,"-1,79%"
29.01.2015,47.762,"0,14%"
28.01.2015,47.695,"-1,84%"
27.01.2015,48.591,"0,03%"
26.01.2015,48.577,"-0,41%"
23.01.2015,48.775,"-1,35%"
22.01.2015,49.443,"0,44%"
21.01.2015,49.224,"2,81%"
20.01.2015,47.877,"0,25%"
19.01.2015,47.758,"-2,57%"
16.01.2015,49.017,"2,06%"
15.01.2015,48.026,"0,80%"
14.01.2015,47.646,"-0,82%"
13.01.2015,48.042,"-0,20%"
12.01.2015,48.140,"-1,43%"
09.01.2015,48.840,"-2,21%"
08.01.2015,49.943,"0,97%"
07.01.2015,49.463,"3,05%"
06.01.2015,48.001,"1,02%"
05.01.2015,47.517,"-2,05%"
02.01.2015,48.512,"-2,99%"
30.12.2014,50.007,"-1,16%"
29.12.2014,50.594,"0,90%"
26.12.2014,50.145,"-1,46%"
23.12.2014,50.890,"1,53%"
22.12.2014,50.121,"0,95%"
19.12.2014,49.651,"2,38%"
18.12.2014,48.496,"-0,45%"
17.12.2014,48.714,"3,63%"
16.12.2014,47.008,"-0,02%"
15.12.2014,47.019,"-2,05%"
12.12.2014,48.002,"-3,73%"
11.12.2014,49.862,"0,63%"
10.12.2014,49.548,"-1,29%"
09.12.2014,50.193,"-0,16%"
08.12.2014,50.274,"-3,31%"
05.12.2014,51.993,"1,10%"
04.12.2014,51.427,"-1,71%"
03.12.2014,52.320,"1,37%"
02.12.2014,51.612,"-1,27%"
01.12.2014,52.277,"-4,47%"
28.11.2014,54.724,"0,01%"
27.11.2014,54.721,"-0,68%"
26.11.2014,55.098,"-0,83%"
25.11.2014,55.561,"0,28%"
24.11.2014,55.407,"-1,21%"
21.11.2014,56.084,"5,02%"
19.11.2014,53.403,"2,58%"
18.11.2014,52.062,"1,57%"
17.11.2014,51.257,"-0,99%"
14.11.2014,51.772,"-0,14%"
13.11.2014,51.846,"-2,14%"
12.11.2014,52.979,"0,96%"
11.11.2014,52.474,"-0,48%"
10.11.2014,52.725,"-0,94%"
07.11.2014,53.223,"1,11%"
06.11.2014,52.637,"-1,98%"
05.11.2014,53.698,"-1,26%"
04.11.2014,54.384,"0,81%"
03.11.2014,53.947,"-1,25%"
31.10.2014,54.629,"4,38%"
30.10.2014,52.337,"2,52%"
29.10.2014,51.049,"-2,45%"
28.10.2014,52.330,"3,62%"
27.10.2014,50.504,"-2,77%"
24.10.2014,51.941,"2,42%"
23.10.2014,50.713,"-3,24%"
22.10.2014,52.411,"-0,04%"
21.10.2014,52.432,"-3,45%"
20.10.2014,54.303,"-2,55%"
17.10.2014,55.724,"2,63%"
16.10.2014,54.298,"-3,27%"
15.10.2014,56.135,"-3,24%"
14.10.2014,58.015,"0,10%"
13.10.2014,57.957,"4,78%"
10.10.2014,55.312,"-3,42%"
09.10.2014,57.268,"0,37%"
08.10.2014,57.058,"-0,66%"
07.10.2014,57.436,"0,56%"
06.10.2014,57.116,"4,72%"
03.10.2014,54.540,"1,91%"
02.10.2014,53.519,"1,25%"
01.10.2014,52.858,"-2,32%"
30.09.2014,54.116,"-0,93%"
29.09.2014,54.625,"-4,52%"
26.09.2014,57.212,"2,23%"
25.09.2014,55.962,"-1,52%"
24.09.2014,56.824,"0,50%"
23.09.2014,56.540,"-0,49%"
22.09.2014,56.818,"-1,68%"
19.09.2014,57.789,"-1,00%"
18.09.2014,58.374,"-1,24%"
17.09.2014,59.108,"-0,01%"
16.09.2014,59.115,"2,01%"
15.09.2014,57.949,"1,79%"
12.09.2014,56.928,"-2,42%"
11.09.2014,58.337,"0,24%"
10.09.2014,58.199,"-0,81%"
09.09.2014,58.676,"-0,87%"
08.09.2014,59.193,"-2,45%"
05.09.2014,60.682,"-0,19%"
04.09.2014,60.800,"-1,68%"
03.09.2014,61.837,"-0,10%"
02.09.2014,61.896,"1,23%"
01.09.2014,61.141,"-0,24%"
29.08.2014,61.288,"1,65%"
28.08.2014,60.291,"-1,08%"
27.08.2014,60.951,"1,89%"
26.08.2014,59.821,"0,14%"
25.08.2014,59.735,"2,27%"
22.08.2014,58.407,"-0,99%"
21.08.2014,58.992,"0,19%"
20.08.2014,58.878,"0,73%"
19.08.2014,58.449,"1,54%"
18.08.2014,57.561,"1,05%"
15.08.2014,56.964,"2,12%"
14.08.2014,55.780,"0,36%"
13.08.2014,55.581,"-1,53%"
12.08.2014,56.442,"-0,30%"
11.08.2014,56.613,"1,87%"
08.08.2014,55.573,"-1,09%"
07.08.2014,56.188,"-0,53%"
06.08.2014,56.487,"0,51%"
05.08.2014,56.202,"-0,73%"
04.08.2014,56.616,"1,28%"
01.08.2014,55.903,"0,13%"
31.07.2014,55.829,"-1,84%"
30.07.2014,56.878,"-0,42%"
29.07.2014,57.119,"-1,00%"
28.07.2014,57.696,"-0,22%"
25.07.2014,57.821,"-0,27%"
24.07.2014,57.978,"0,97%"
23.07.2014,57.420,"-0,97%"
22.07.2014,57.983,"0,61%"
21.07.2014,57.634,"1,09%"
18.07.2014,57.013,"2,47%"
17.07.2014,55.638,"-0,14%"
16.07.2014,55.717,"-0,46%"
15.07.2014,55.974,"0,41%"
14.07.2014,55.744,"1,75%"
11.07.2014,54.786,"0,35%"
10.07.2014,54.593,"1,79%"
08.07.2014,53.635,"-0,31%"
07.07.2014,53.802,"-0,47%"
04.07.2014,54.056,"0,34%"
03.07.2014,53.875,"1,60%"
02.07.2014,53.029,"-0,27%"
01.07.2014,53.171,"0,01%"
30.06.2014,53.168,"0,02%"
27.06.2014,53.157,"-0,65%"
26.06.2014,53.507,"0,15%"
25.06.2014,53.426,"-1,58%"
24.06.2014,54.281,"0,13%"
23.06.2014,54.210,"-0,78%"
20.06.2014,54.638,"-1,02%"
18.06.2014,55.203,"1,66%"
17.06.2014,54.300,"-0,60%"
16.06.2014,54.630,"-0,32%"
13.06.2014,54.807,"-0,54%"
11.06.2014,55.102,"0,91%"
10.06.2014,54.604,"0,61%"
09.06.2014,54.273,"2,15%"
06.06.2014,53.129,"3,05%"
05.06.2014,51.559,"-0,53%"
04.06.2014,51.833,"-0,38%"
03.06.2014,52.032,"0,83%"
02.06.2014,51.606,"0,72%"
30.05.2014,51.239,"-1,91%"
29.05.2014,52.239,"-0,76%"
28.05.2014,52.640,"0,89%"
27.05.2014,52.174,"-1,43%"
26.05.2014,52.933,"0,58%"
23.05.2014,52.626,"-0,34%"
22.05.2014,52.806,"1,16%"
21.05.2014,52.203,"-0,31%"
20.05.2014,52.366,"-1,85%"
19.05.2014,53.353,"-1,15%"
16.05.2014,53.976,"0,22%"
15.05.2014,53.856,"-1,02%"
14.05.2014,54.413,"0,94%"
13.05.2014,53.907,"-0,27%"
12.05.2014,54.053,"1,79%"
09.05.2014,53.100,"-0,60%"
08.05.2014,53.422,"-1,17%"
07.05.2014,54.053,"0,51%"
06.05.2014,53.780,"0,62%"
05.05.2014,53.446,"0,88%"
02.05.2014,52.980,"2,62%"
30.04.2014,51.627,"-0,41%"
29.04.2014,51.839,"0,89%"
28.04.2014,51.384,"-0,03%"
25.04.2014,51.399,"-0,81%"
24.04.2014,51.817,"0,48%"
23.04.2014,51.570,"-0,78%"
22.04.2014,51.977,"-0,26%"
17.04.2014,52.112,"1,78%"
16.04.2014,51.201,"1,48%"
15.04.2014,50.454,"-2,22%"
14.04.2014,51.597,"-0,52%"
11.04.2014,51.867,"1,45%"
10.04.2014,51.127,"-0,11%"
09.04.2014,51.185,"-0,86%"
08.04.2014,51.629,"-1,01%"
07.04.2014,52.155,"2,10%"
04.04.2014,51.082,"-0,63%"
03.04.2014,51.408,"-0,57%"
02.04.2014,51.701,"2,85%"
01.04.2014,50.270,"-0,29%"
31.03.2014,50.415,"1,30%"
28.03.2014,49.768,"0,24%"
27.03.2014,49.647,"3,50%"
26.03.2014,47.966,"-0,44%"
25.03.2014,48.180,"0,39%"
24.03.2014,47.993,"1,29%"
21.03.2014,47.381,"0,22%"
20.03.2014,47.278,"1,53%"
19.03.2014,46.567,"0,90%"
18.03.2014,46.151,"2,29%"
17.03.2014,45.118,"0,34%"
14.03.2014,44.966,"-1,05%"
13.03.2014,45.444,"-0,91%"
12.03.2014,45.862,"0,36%"
11.03.2014,45.698,"0,36%"
10.03.2014,45.533,"-1,54%"
07.03.2014,46.244,"-1,80%"
06.03.2014,47.093,"1,08%"
05.03.2014,46.589,"-1,07%"
28.02.2014,47.094,"-1,08%"
27.02.2014,47.607,"2,16%"
26.02.2014,46.599,"-0,25%"
25.02.2014,46.716,"-1,43%"
24.02.2014,47.394,"0,03%"
21.02.2014,47.380,"0,19%"
20.02.2014,47.289,"0,29%"
19.02.2014,47.151,"1,18%"
18.02.2014,46.600,"-2,05%"
17.02.2014,47.576,"-1,30%"
14.02.2014,48.201,"0,81%"
13.02.2014,47.813,"-0,84%"
12.02.2014,48.217,"-0,51%"
11.02.2014,48.463,"1,58%"
10.02.2014,47.711,"-0,76%"
07.02.2014,48.074,"0,70%"
06.02.2014,47.738,"2,39%"
05.02.2014,46.624,"-0,72%"
04.02.2014,46.964,"1,77%"
03.02.2014,46.148,"-3,13%"
31.01.2014,47.639,"0,84%"
30.01.2014,47.244,"-0,66%"
29.01.2014,47.557,"-0,59%"
28.01.2014,47.841,"0,29%"
27.01.2014,47.701,"-0,18%"
24.01.2014,47.787,"-1,11%"
23.01.2014,48.321,"-1,99%"
22.01.2014,49.300,"1,56%"
21.01.2014,48.542,"-0,34%"
20.01.2014,48.708,"-0,96%"
17.01.2014,49.182,"-1,03%"
16.01.2014,49.696,"-0,82%"
15.01.2014,50.105,"0,81%"
14.01.2014,49.703,"0,56%"
13.01.2014,49.427,"-0,54%"
10.01.2014,49.696,"0,76%"
09.01.2014,49.322,"-2,48%"
08.01.2014,50.577,"0,29%"
07.01.2014,50.430,"-1,07%"
06.01.2014,50.974,"-0,01%"
03.01.2014,50.981,"1,27%"
02.01.2014,50.341,"-2,26%"
30.12.2013,51.507,"0,47%"
27.12.2013,51.267,"0,09%"
26.12.2013,51.221,"-0,26%"
23.12.2013,51.356,"0,33%"
20.12.2013,51.186,"-0,87%"
19.12.2013,51.633,"2,12%"
18.12.2013,50.563,"0,94%"
17.12.2013,50.090,"-0,38%"
16.12.2013,50.280,"0,46%"
13.12.2013,50.051,"-0,14%"
12.12.2013,50.122,"0,11%"
11.12.2013,50.068,"-1,81%"
10.12.2013,50.993,"-0,34%"
09.12.2013,51.165,"0,43%"
06.12.2013,50.944,"0,31%"
05.12.2013,50.788,"1,14%"
04.12.2013,50.216,"-0,26%"
03.12.2013,50.349,"-1,75%"
02.12.2013,51.245,"-2,36%"
29.11.2013,52.482,"1,22%"
28.11.2013,51.847,"-0,03%"
27.11.2013,51.861,"0,80%"
26.11.2013,51.447,"-1,56%"
25.11.2013,52.264,"-1,02%"
22.11.2013,52.801,"0,21%"
21.11.2013,52.688,"-0,65%"
19.11.2013,53.033,"-2,35%"
18.11.2013,54.307,"1,60%"
14.11.2013,53.452,"2,34%"
13.11.2013,52.230,"0,82%"
12.11.2013,51.804,"-1,56%"
11.11.2013,52.624,"0,72%"
08.11.2013,52.249,"-0,93%"
07.11.2013,52.741,"-1,21%"
06.11.2013,53.385,"-0,83%"
05.11.2013,53.832,"-1,11%"
04.11.2013,54.437,"0,78%"
01.11.2013,54.013,"-0,45%"
31.10.2013,54.256,"0,15%"
30.10.2013,54.173,"-0,67%"
29.10.2013,54.539,"-0,97%"
28.10.2013,55.073,"1,70%"
25.10.2013,54.154,"-1,32%"
24.10.2013,54.877,"-1,02%"
23.10.2013,55.440,"-1,81%"
22.10.2013,56.460,"0,68%"
21.10.2013,56.077,"1,26%"
18.10.2013,55.378,"0,04%"
17.10.2013,55.358,"-1,10%"
16.10.2013,55.973,"1,80%"
15.10.2013,54.981,"1,50%"
14.10.2013,54.171,"1,92%"
11.10.2013,53.150,"0,29%"
10.10.2013,52.997,"0,85%"
09.10.2013,52.548,"0,45%"
08.10.2013,52.312,"-0,20%"
07.10.2013,52.417,"-0,82%"
04.10.2013,52.849,"0,68%"
03.10.2013,52.490,"-1,15%"
02.10.2013,53.100,"-0,15%"
01.10.2013,53.179,"1,61%"
30.09.2013,52.338,"-2,61%"
27.09.2013,53.739,"-0,08%"
26.09.2013,53.783,"-0,88%"
25.09.2013,54.261,"-0,31%"
24.09.2013,54.431,"-0,31%"
23.09.2013,54.602,"0,91%"
20.09.2013,54.110,"-1,79%"
19.09.2013,55.096,"-1,09%"
18.09.2013,55.703,"2,64%"
17.09.2013,54.271,"0,83%"
16.09.2013,53.822,"0,04%"
13.09.2013,53.798,"0,92%"
12.09.2013,53.307,"-0,49%"
11.09.2013,53.570,"-0,76%"
10.09.2013,53.979,"-0,50%"
09.09.2013,54.252,"0,94%"
06.09.2013,53.749,"2,67%"
05.09.2013,52.352,"1,23%"
04.09.2013,51.716,"0,17%"
03.09.2013,51.626,"-0,40%"
02.09.2013,51.835,"3,65%"
30.08.2013,50.012,"0,18%"
29.08.2013,49.922,"0,11%"
28.08.2013,49.867,"-0,45%"
27.08.2013,50.092,"-2,60%"
26.08.2013,51.429,"-1,47%"
23.08.2013,52.197,"1,55%"
22.08.2013,51.398,"1,97%"
