"Data;Último;Var%";
"31.10.2023;113.144;0,54%";
"31.10.2022;116.037;1,31%";
"31.10.2019;107.220;-1,1%";
"31.10.2018;87.424;0,62%";
"31.10.2017;74.308;-0,66%";
"31.10.2016;64.925;0,96%";
"31.10.2014;54.629;4,38%";
"31.10.2013;54.256;0,15%";
"31.10.2012;57.068;-1,07%";
"31.10.2011;58.338;-1,97%";
"31.10.2008;37.257;-0,51%";
"31.10.2007;65.318;1,45%";
"31.10.2006;39.263;0,93%";
"31.10.2005;30.194;2,99%";
"31.10.2003;17.982;-0,62%";
"31.10.2002;10.168;0,98%";
"31.10.2001;11.365;3,09%";
"31.10.2000;14.867;-0,16%";
"31.10.1997;8.986;1,48%";
"31.10.1996;6.533;-0,15%";
"31.10.1995;4.128;1,45%";
"31.8.2023;115.742;-1,53%";
"31.8.2022;109.523;-0,82%";
"31.8.2021;118.781;-0,8%";
"31.8.2020;99.369;-2,72%";
"31.8.2018;76.678;0,36%";
"31.8.2017;70.835;-0,07%";
"31.8.2016;57.901;-1,15%";
"31.8.2015;46.626;-1,12%";
"31.8.2012;57.061;-0,34%";
"31.8.2011;56.495;2%";
"31.8.2010;65.145;1,38%";
"31.8.2009;56.489;-2,1%";
"31.8.2007;54.637;3,37%";
"31.8.2006;36.232;-0,22%";
"31.8.2005;28.045;1,6%";
"31.8.2004;22.803;-0,29%";
"31.8.2001;12.841;-0,4%";
"31.8.2000;17.347;-0,38%";
"31.8.1999;10.565;0,39%";
"31.8.1998;6.472;-4,06%";
"31.8.1995;4.310;1,75%";
"31.7.2023;121.943;1,46%";
"31.7.2020;102.912;-2%";
"31.7.2019;101.812;-1,09%";
"31.7.2018;79.220;-1,32%";
"31.7.2017;65.920;0,65%";
"31.7.2015;50.865;1,94%";
"31.7.2014;55.829;-1,84%";
"31.7.2013;48.234;-0,68%";
"31.7.2012;56.097;-2%";
"31.7.2009;54.766;0,53%";
"31.7.2008;59.505;-0,82%";
"31.7.2007;54.182;-0,72%";
"31.7.2006;37.077;-0,81%";
"31.7.2003;13.572;0,72%";
"31.7.2002;9.763;4,51%";
"31.7.2001;13.754;0,36%";
"31.7.2000;16.455;-0,19%";
"31.7.1998;10.707;-2,12%";
"31.7.1997;12.872;-1,13%";
"31.7.1996;6.123;-0,33%";
"31.7.1995;3.878;-0,26%";
"31.5.2023;108.335;-0,58%";
"31.5.2022;111.351;0,29%";
"31.5.2021;126.216;0,52%";
"31.5.2019;97.030;-0,44%";
"31.5.2017;62.711;-1,96%";
"31.5.2016;48.472;-1%";
"31.5.2013;53.506;-2,07%";
"31.5.2012;54.490;1,29%";
