Data,Ano,Indice
14/06/2024,2024,234
13/06/2024,2024,230
12/06/2024,2024,223
11/06/2024,2024,225
10/06/2024,2024,216
07/06/2024,2024,221
06/06/2024,2024,227
05/06/2024,2024,224
04/06/2024,2024,220
03/06/2024,2024,217
31/05/2024,2024,213
30/05/2024,2024,210
29/05/2024,2024,210
28/05/2024,2024,219
24/05/2024,2024,212
23/05/2024,2024,213
22/05/2024,2024,214
21/05/2024,2024,212
20/05/2024,2024,212
17/05/2024,2024,217
16/05/2024,2024,217
15/05/2024,2024,221
14/05/2024,2024,216
13/05/2024,2024,211
10/05/2024,2024,210
09/05/2024,2024,209
08/05/2024,2024,206
07/05/2024,2024,204
06/05/2024,2024,201
03/05/2024,2024,204
02/05/2024,2024,208
01/05/2024,2024,209
30/04/2024,2024,210
29/04/2024,2024,212
26/04/2024,2024,212
25/04/2024,2024,214
24/04/2024,2024,214
23/04/2024,2024,213
22/04/2024,2024,215
19/04/2024,2024,217
18/04/2024,2024,218
17/04/2024,2024,220
16/04/2024,2024,221
15/04/2024,2024,216
12/04/2024,2024,211
11/04/2024,2024,205
10/04/2024,2024,206
09/04/2024,2024,209
08/04/2024,2024,208
05/04/2024,2024,206
04/04/2024,2024,210
03/04/2024,2024,214
02/04/2024,2024,210
01/04/2024,2024,208
28/03/2024,2024,210
27/03/2024,2024,205
26/03/2024,2024,202
25/03/2024,2024,202
22/03/2024,2024,201
21/03/2024,2024,200
20/03/2024,2024,205
19/03/2024,2024,206
18/03/2024,2024,204
15/03/2024,2024,205
14/03/2024,2024,205
13/03/2024,2024,208
12/03/2024,2024,210
11/03/2024,2024,213
08/03/2024,2024,214
07/03/2024,2024,215
06/03/2024,2024,213
05/03/2024,2024,213
04/03/2024,2024,208
01/03/2024,2024,207
29/02/2024,2024,208
28/02/2024,2024,208
27/02/2024,2024,202
26/02/2024,2024,203
23/02/2024,2024,205
22/02/2024,2024,205
21/02/2024,2024,205
20/02/2024,2024,207
16/02/2024,2024,208
15/02/2024,2024,208
14/02/2024,2024,209
13/02/2024,2024,206
12/02/2024,2024,210
09/02/2024,2024,211
08/02/2024,2024,211
07/02/2024,2024,212
06/02/2024,2024,215
05/02/2024,2024,216
02/02/2024,2024,220
01/02/2024,2024,225
31/01/2024,2024,230
30/01/2024,2024,205
29/01/2024,2024,202
26/01/2024,2023,201
25/01/2024,2023,202
24/01/2024,2023,201
23/01/2024,2023,205
22/01/2024,2023,201
19/01/2024,2023,190
18/01/2024,2023,186
17/01/2024,2023,187
16/01/2024,2023,186
12/01/2024,2023,191
11/01/2024,2023,194
10/01/2024,2023,197
09/01/2024,2023,203
08/01/2024,2023,205
05/01/2024,2023,206
04/01/2024,2023,209
03/01/2024,2023,211
02/01/2024,2023,202
29/12/2023,2023,195
28/12/2023,2023,197
27/12/2023,2023,201
26/12/2023,2023,195
22/12/2023,2023,193
21/12/2023,2023,194
20/12/2023,2023,195
19/12/2023,2023,192
18/12/2023,2023,191
15/12/2023,2023,192
14/12/2023,2023,192
13/12/2023,2023,197
12/12/2023,2023,196
11/12/2023,2023,195
08/12/2023,2023,195
07/12/2023,2023,196
06/12/2023,2023,196
05/12/2023,2023,193
04/12/2023,2023,192
01/12/2023,2023,193
30/11/2023,2023,189
29/11/2023,2023,196
28/11/2023,2023,198
27/11/2023,2023,199
24/11/2023,2023,196
22/11/2023,2023,197
21/11/2023,2023,199
20/11/2023,2023,200
17/11/2023,2023,203
16/11/2023,2023,203
15/11/2023,2023,202
14/11/2023,2023,207
13/11/2023,2023,207
10/11/2023,2023,203
09/11/2023,2023,204
08/11/2023,2023,207
07/11/2023,2023,202
06/11/2023,2023,196
03/11/2023,2023,194
02/11/2023,2023,195
01/11/2023,2023,200
30/10/2023,2023,201
27/10/2023,2023,203
26/10/2023,2023,201
25/10/2023,2023,194
24/10/2023,2023,198
23/10/2023,2023,200
20/10/2023,2023,200
19/10/2023,2023,199
18/10/2023,2023,198
17/10/2023,2023,200
16/10/2023,2023,200
13/10/2023,2023,200
12/10/2023,2023,198
11/10/2023,2023,202
10/10/2023,2023,204
06/10/2023,2023,208
05/10/2023,2023,211
04/10/2023,2023,209
03/10/2023,2023,205
02/10/2023,2023,200
29/09/2023,2023,201
28/09/2023,2023,204
27/09/2023,2023,202
26/09/2023,2023,203
25/09/2023,2023,201
22/09/2023,2023,205
21/09/2023,2023,205
20/09/2023,2023,201
19/09/2023,2023,204
18/09/2023,2023,207
15/09/2023,2023,205
14/09/2023,2023,204
13/09/2023,2023,208
12/09/2023,2023,211
11/09/2023,2023,208
08/09/2023,2023,209
07/09/2023,2023,213
06/09/2023,2023,210
05/09/2023,2023,208
01/09/2023,2023,208
31/08/2023,2023,209
30/08/2023,2023,207
29/08/2023,2023,209
28/08/2023,2023,209
25/08/2023,2023,210
24/08/2023,2023,212
23/08/2023,2023,217
22/08/2023,2023,215
21/08/2023,2023,218
18/08/2023,2023,221
17/08/2023,2023,219
16/08/2023,2023,213
15/08/2023,2023,216
14/08/2023,2023,207
11/08/2023,2023,204
10/08/2023,2023,207
09/08/2023,2023,216
08/08/2023,2023,213
07/08/2023,2023,211
04/08/2023,2023,211
03/08/2023,2023,204
02/08/2023,2023,204
01/08/2023,2023,198
31/07/2023,2023,199
28/07/2023,2023,201
27/07/2023,2023,199
26/07/2023,2023,206
25/07/2023,2023,211
24/07/2023,2023,211
21/07/2023,2023,214
20/07/2023,2023,217
19/07/2023,2023,220
18/07/2023,2023,218
17/07/2023,2023,221
14/07/2023,2023,221
13/07/2023,2023,224
12/07/2023,2023,225
11/07/2023,2023,223
10/07/2023,2023,228
07/07/2023,2023,225
06/07/2023,2023,223
05/07/2023,2023,221
03/07/2023,2023,227
30/06/2023,2023,230
29/06/2023,2023,230
28/06/2023,2023,235
27/06/2023,2023,230
26/06/2023,2023,232
23/06/2023,2023,232
22/06/2023,2023,228
21/06/2023,2023,231
20/06/2023,2023,231
16/06/2023,2023,228
15/06/2023,2023,230
14/06/2023,2023,227
