data; selic ;
19/06/2024; 10,5 ;
08/05/2024; 10,5 ;
20/03/2024; 10,8 ;
31/01/2024; 11,3 ;
13/12/2023; 11,8 ;
01/11/2023; 12,3 ;
20/09/2023; 12,8 ;
02/08/2023; 13,3 ;
21/06/2023; 13,8 ;
03/05/2023; 13,8 ;
22/03/2023; 13,8 ;
01/02/2023; 13,8 ;
07/12/2022; 13,8 ;
26/10/2022; 13,8 ;
21/09/2022; 13,8 ;
03/08/2022; 13,8 ;
15/06/2022; 13,3 ;
04/05/2022; 12,8 ;
16/03/2022; 11,8 ;
02/02/2022; 10,8 ;
08/12/2021; 9,3 ;
27/10/2021; 7,8 ;
22/09/2021; 6,3 ;
04/08/2021; 5,3 ;
16/06/2021; 4,3 ;
05/05/2021; 3,5 ;
17/03/2021; 2,8 ;
20/01/2021; 2,0 ;
09/12/2020; 2,0 ;
28/10/2020; 2,0 ;
16/09/2020; 2,0 ;
05/08/2020; 2,0 ;
17/06/2020; 2,3 ;
06/05/2020; 3,0 ;
18/03/2020; 3,8 ;
05/02/2020; 4,3 ;
11/12/2019; 4,5 ;
30/10/2019; 5,0 ;
18/09/2019; 5,5 ;
31/07/2019; 6,0 ;
19/06/2019; 6,5 ;
08/05/2019; 6,5 ;
20/03/2019; 6,5 ;
06/02/2019; 6,5 ;
12/12/2018; 6,5 ;
31/10/2018; 6,5 ;
19/09/2018; 6,5 ;
01/08/2018; 6,5 ;
20/06/2018; 6,5 ;
16/05/2018; 6,5 ;
21/03/2018; 6,5 ;
07/02/2018; 6,8 ;
06/12/2017; 7,0 ;
25/10/2017; 7,5 ;
06/09/2017; 8,3 ;
26/07/2017; 9,3 ;
31/05/2017; 10,3 ;
12/04/2017; 11,3 ;
22/02/2017; 12,3 ;
11/01/2017; 13,0 ;
30/11/2016; 13,8 ;
19/10/2016; 14,0 ;
31/08/2016; 14,3 ;
20/07/2016; 14,3 ;
08/06/2016; 14,3 ;
27/04/2016; 14,3 ;
02/03/2016; 14,3 ;
20/01/2016; 14,3 ;
25/11/2015; 14,3 ;
21/10/2015; 14,3 ;
02/09/2015; 14,3 ;
29/07/2015; 14,3 ;
03/06/2015; 13,8 ;
29/04/2015; 13,3 ;
04/03/2015; 12,8 ;
21/01/2015; 12,3 ;
03/12/2014; 11,8 ;
29/10/2014; 11,3 ;
03/09/2014; 11,0 ;
16/07/2014; 11,0 ;
28/05/2014; 11,0 ;
02/04/2014; 11,0 ;
26/02/2014; 10,8 ;
15/01/2014; 10,5 ;
27/11/2013; 10,0 ;
09/10/2013; 9,5 ;
28/08/2013; 9,0 ;
10/07/2013; 8,5 ;
29/05/2013; 8,0 ;
17/04/2013; 7,5 ;
06/03/2013; 7,3 ;
